source,term,start_date,end_date,count,enabled,created_on,last_updated,comment
northern-marianas-humanities-council,culture,1/1/2000,1/1/2020,,,,,
ohio-humanities,culture,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,culture,1/1/2000,1/1/2020,,,,,
oregon-humanities,culture,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,culture,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,culture,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,culture,1/1/2000,1/1/2020,,,,,
humanities-tennessee,culture,1/1/2000,1/1/2020,,,,,
humanities-texas,culture,1/1/2000,1/1/2020,,,,,
utah-humanities,culture,1/1/2000,1/1/2020,,,,,
vermont-humanities,culture,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,culture,1/1/2000,1/1/2020,,,,,
virginia-humanities,culture,1/1/2000,1/1/2020,,,,,
humanities-washington,culture,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,culture,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,culture,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,culture,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,language,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,language,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,language,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,language,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,language,1/1/2000,1/1/2020,,,,,
california-humanities,language,1/1/2000,1/1/2020,,,,,
colorado-humanities,language,1/1/2000,1/1/2020,,,,,
connecticut-humanities,language,1/1/2000,1/1/2020,,,,,
delaware-humanities,language,1/1/2000,1/1/2020,,,,,
humanities-dc,language,1/1/2000,1/1/2020,,,,,
florida-humanities-council,language,1/1/2000,1/1/2020,,,,,
georgia-humanities,language,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,language,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,language,1/1/2000,1/1/2020,,,,,
illinois-humanities,language,1/1/2000,1/1/2020,,,,,
indiana-humanties,language,1/1/2000,1/1/2020,,,,,
humanities-iowa,language,1/1/2000,1/1/2020,,,,,
humanities-kansas,language,1/1/2000,1/1/2020,,,,,
kentucky-humanities,language,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
maine-humanities-council,language,1/1/2000,1/1/2020,,,,,
maryland-humanities,language,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,language,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,language,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,language,1/1/2000,1/1/2020,,,,,
mississippi-humanities,language,1/1/2000,1/1/2020,,,,,
missouri-humanities,language,1/1/2000,1/1/2020,,,,,
humanities-montana,language,1/1/2000,1/1/2020,,,,,
humanities-nebraska,language,1/1/2000,1/1/2020,,,,,
nevada-humanities,language,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,language,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,language,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,language,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,language,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,language,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,language,1/1/2000,1/1/2020,,,,,
ohio-humanities,language,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,language,1/1/2000,1/1/2020,,,,,
oregon-humanities,language,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,language,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,language,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,language,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,language,1/1/2000,1/1/2020,,,,,
humanities-tennessee,language,1/1/2000,1/1/2020,,,,,
humanities-texas,language,1/1/2000,1/1/2020,,,,,
utah-humanities,language,1/1/2000,1/1/2020,,,,,
vermont-humanities,language,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,language,1/1/2000,1/1/2020,,,,,
virginia-humanities,language,1/1/2000,1/1/2020,,,,,
humanities-washington,language,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,language,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,language,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,language,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,literature,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,literature,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,literature,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,literature,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,literature,1/1/2000,1/1/2020,,,,,
california-humanities,literature,1/1/2000,1/1/2020,,,,,
colorado-humanities,literature,1/1/2000,1/1/2020,,,,,
connecticut-humanities,literature,1/1/2000,1/1/2020,,,,,
delaware-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-dc,literature,1/1/2000,1/1/2020,,,,,
florida-humanities-council,literature,1/1/2000,1/1/2020,,,,,
georgia-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,literature,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,literature,1/1/2000,1/1/2020,,,,,
illinois-humanities,literature,1/1/2000,1/1/2020,,,,,
indiana-humanties,literature,1/1/2000,1/1/2020,,,,,
humanities-iowa,literature,1/1/2000,1/1/2020,,,,,
humanities-kansas,literature,1/1/2000,1/1/2020,,,,,
kentucky-humanities,literature,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
maine-humanities-council,literature,1/1/2000,1/1/2020,,,,,
maryland-humanities,literature,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,literature,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,literature,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,literature,1/1/2000,1/1/2020,,,,,
mississippi-humanities,literature,1/1/2000,1/1/2020,,,,,
missouri-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-montana,literature,1/1/2000,1/1/2020,,,,,
humanities-nebraska,literature,1/1/2000,1/1/2020,,,,,
nevada-humanities,literature,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,literature,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,literature,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,literature,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,literature,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,literature,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,literature,1/1/2000,1/1/2020,,,,,
ohio-humanities,literature,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,literature,1/1/2000,1/1/2020,,,,,
oregon-humanities,literature,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,literature,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,literature,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,literature,1/1/2000,1/1/2020,,,,,
humanities-tennessee,literature,1/1/2000,1/1/2020,,,,,
humanities-texas,literature,1/1/2000,1/1/2020,,,,,
